"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.33735,1,0,0.5,0,0
-0.00068798,7.9858e-09,0,0.33735,1,0.001,0.5,0.001,0
-0.001376,1.5972e-08,0,0.33735,1,0.002,0.5,0.002,0
-0.0020639,2.3957e-08,0,0.33735,1,0.003,0.5,0.003,0
-0.0027519,3.1943e-08,0,0.33735,1,0.004,0.5,0.004,0
-0.0034399,3.9929e-08,0,0.33735,1,0.005,0.5,0.005,0
-0.0041279,4.7915e-08,0,0.33735,1,0.006,0.5,0.006,0
-0.0048158,5.59e-08,0,0.33735,1,0.007,0.5,0.007,0
-0.0055038,6.3886e-08,0,0.33735,1,0.008,0.5,0.008,0
-0.0061918,7.1872e-08,0,0.33735,1,0.009,0.5,0.009,0
-0.0068798,7.9858e-08,0,0.33735,1,0.01,0.5,0.01,0
-0.0075365,9.6055e-08,0,0.33735,1,0.011,0.5,0.011,0
-0.0081933,1.1225e-07,0,0.33735,1,0.012,0.5,0.012,0
-0.00885,1.2845e-07,0,0.33735,1,0.013,0.5,0.013,0
-0.0095068,1.4465e-07,0,0.33736,1,0.014,0.5,0.014,0
-0.010164,1.6084e-07,0,0.33736,1,0.015,0.5,0.015,0
-0.01082,1.7704e-07,0,0.33736,1,0.016,0.5,0.016,0
-0.011477,1.9324e-07,0,0.33736,1,0.017,0.5,0.017,0
-0.012134,2.0943e-07,0,0.33736,1,0.018,0.5,0.018,0
-0.012791,2.2563e-07,0,0.33736,1,0.019,0.5,0.019,0
-0.013447,2.4183e-07,0,0.33736,1,0.02,0.5,0.02,0
-0.014076,2.6616e-07,0,0.33736,1,0.021,0.5,0.021,0
-0.014704,2.905e-07,0,0.33736,1,0.022,0.5,0.022,0
-0.015333,3.1483e-07,0,0.33736,1,0.023,0.5,0.023,0
-0.015961,3.3917e-07,0,0.33736,1,0.024,0.5,0.024,0
-0.01659,3.635e-07,0,0.33736,1,0.025,0.5,0.025,0
-0.017218,3.8784e-07,0,0.33736,1,0.026,0.5,0.026,0
-0.017847,4.1217e-07,0,0.33736,1,0.027,0.5,0.027,0
-0.018475,4.3651e-07,0,0.33736,1,0.028,0.5,0.028,0
-0.019104,4.6084e-07,0,0.33736,1,0.029,0.5,0.029,0
-0.019732,4.8517e-07,0,0.33737,1,0.03,0.5,0.03,0
-0.020335,5.1443e-07,0,0.33737,1,0.031,0.5,0.031,0
-0.020938,5.4368e-07,0,0.33737,1,0.032,0.5,0.032,0
-0.021541,5.7294e-07,0,0.33737,1,0.033,0.5,0.033,0
-0.022143,6.0219e-07,0,0.33737,1,0.034,0.5,0.034,0
-0.022746,6.3145e-07,0,0.33737,1,0.035,0.5,0.035,0
-0.023349,6.607e-07,0,0.33737,1,0.036,0.5,0.036,0
-0.023952,6.8996e-07,0,0.33737,1,0.037,0.5,0.037,0
-0.024555,7.1921e-07,0,0.33737,1,0.038,0.5,0.038,0
-0.025157,7.4847e-07,0,0.33737,1,0.039,0.5,0.039,0
-0.02576,7.7772e-07,0,0.33737,1,0.04,0.5,0.04,0
-0.02634,8.1004e-07,0,0.33736,1,0.041,0.5,0.041,0
-0.026919,8.4236e-07,0,0.33736,1,0.042,0.5,0.042,0
-0.027499,8.7468e-07,0,0.33736,1,0.043,0.5,0.043,0
-0.028078,9.0699e-07,0,0.33736,1,0.044,0.5,0.044,0
-0.028657,9.3931e-07,0,0.33736,1,0.045,0.5,0.045,0
-0.029237,9.7163e-07,0,0.33736,1,0.046,0.5,0.046,0
-0.029816,1.0039e-06,0,0.33736,1,0.047,0.5,0.047,0
