"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,-0.26966,1,0,0,0.5,0
-4.6583e-05,0.0017048,0,-0.2743,1,0.001,0.001,0.5,0
-9.3165e-05,0.0034095,0,-0.27894,1,0.002,0.002,0.5,0
-0.00013975,0.0051143,0,-0.28358,1,0.003,0.003,0.5,0
-0.00018633,0.006819,0,-0.28822,1,0.004,0.004,0.5,0
-0.00023291,0.0085238,0,-0.29286,1,0.005,0.005,0.5,0
-0.0002795,0.010229,0,-0.29751,1,0.006,0.006,0.5,0
-0.00032608,0.011933,0,-0.30215,1,0.007,0.007,0.5,0
-0.00037266,0.013638,0,-0.30679,1,0.008,0.008,0.5,0
-0.00041924,0.015343,0,-0.31143,1,0.009,0.009,0.5,0
-0.00046583,0.017048,0,-0.31607,1,0.01,0.01,0.5,0
-0.000578,0.018684,0,-0.32456,1,0.011,0.011,0.5,0
-0.00069018,0.020321,0,-0.33305,1,0.012,0.012,0.5,0
-0.00080235,0.021957,0,-0.34154,1,0.013,0.013,0.5,0
-0.00091453,0.023594,0,-0.35003,1,0.014,0.014,0.5,0
-0.0010267,0.025231,0,-0.35852,1,0.015,0.015,0.5,0
-0.0011389,0.026867,0,-0.36701,1,0.016,0.016,0.5,0
-0.0012511,0.028504,0,-0.3755,1,0.017,0.017,0.5,0
-0.0013632,0.03014,0,-0.38399,1,0.018,0.018,0.5,0
-0.0014754,0.031777,0,-0.39248,1,0.019,0.019,0.5,0
-0.0015876,0.033414,0,-0.40097,1,0.02,0.02,0.5,0
-0.0017779,0.034977,0,-0.40814,1,0.021,0.021,0.5,0
-0.0019681,0.036541,0,-0.41531,1,0.022,0.022,0.5,0
-0.0021584,0.038104,0,-0.42248,1,0.023,0.023,0.5,0
-0.0023487,0.039668,0,-0.42965,1,0.024,0.024,0.5,0
-0.002539,0.041231,0,-0.43682,1,0.025,0.025,0.5,0
-0.0027292,0.042795,0,-0.44399,1,0.026,0.026,0.5,0
-0.0029195,0.044358,0,-0.45116,1,0.027,0.027,0.5,0
-0.0031098,0.045922,0,-0.45833,1,0.028,0.028,0.5,0
-0.0033001,0.047485,0,-0.4655,1,0.029,0.029,0.5,0
-0.0034903,0.049049,0,-0.47267,1,0.03,0.03,0.5,0
-0.0037482,0.050535,0,-0.4791,1,0.031,0.031,0.5,0
-0.0040061,0.052021,0,-0.48554,1,0.032,0.032,0.5,0
-0.004264,0.053508,0,-0.49197,1,0.033,0.033,0.5,0
-0.0045219,0.054994,0,-0.49841,1,0.034,0.034,0.5,0
-0.0047798,0.05648,0,-0.50484,1,0.035,0.035,0.5,0
-0.0050377,0.057966,0,-0.51128,1,0.036,0.036,0.5,0
-0.0052956,0.059453,0,-0.51771,1,0.037,0.037,0.5,0
-0.0055535,0.060939,0,-0.52415,1,0.038,0.038,0.5,0
-0.0058114,0.062425,0,-0.53058,1,0.039,0.039,0.5,0
-0.0060693,0.063911,0,-0.53702,1,0.04,0.04,0.5,0
-0.0063887,0.065317,0,-0.54302,1,0.041,0.041,0.5,0
-0.0067081,0.066722,0,-0.54902,1,0.042,0.042,0.5,0
-0.0070275,0.068128,0,-0.55502,1,0.043,0.043,0.5,0
-0.0073469,0.069533,0,-0.56102,1,0.044,0.044,0.5,0
-0.0076663,0.070939,0,-0.56702,1,0.045,0.045,0.5,0
-0.0079857,0.072344,0,-0.57302,1,0.046,0.046,0.5,0
-0.0083051,0.07375,0,-0.57902,1,0.047,0.047,0.5,0
-0.0086245,0.075155,0,-0.58502,1,0.048,0.048,0.5,0
-0.0089439,0.076561,0,-0.59102,1,0.049,0.049,0.5,0
-0.0092633,0.077966,0,-0.59702,1,0.05,0.05,0.5,0
-0.0096393,0.079288,0,-0.60254,1,0.051,0.051,0.5,0
-0.010015,0.08061,0,-0.60806,1,0.052,0.052,0.5,0
-0.010391,0.081932,0,-0.61358,1,0.053,0.053,0.5,0
-0.010767,0.083253,0,-0.6191,1,0.054,0.054,0.5,0
-0.011143,0.084575,0,-0.62462,1,0.055,0.055,0.5,0
-0.011519,0.085897,0,-0.63014,1,0.056,0.056,0.5,0
-0.011895,0.087219,0,-0.63566,1,0.057,0.057,0.5,0
-0.012271,0.08854,0,-0.64118,1,0.058,0.058,0.5,0
-0.012647,0.089862,0,-0.6467,1,0.059,0.059,0.5,0
-0.013023,0.091184,0,-0.65222,1,0.06,0.06,0.5,0
-0.013451,0.092419,0,-0.65724,1,0.061,0.061,0.5,0
-0.013878,0.093655,0,-0.66226,1,0.062,0.062,0.5,0
-0.014306,0.09489,0,-0.66727,1,0.063,0.063,0.5,0
-0.014733,0.096126,0,-0.67229,1,0.064,0.064,0.5,0
-0.015161,0.097361,0,-0.67731,1,0.065,0.065,0.5,0
-0.015588,0.098597,0,-0.68233,1,0.066,0.066,0.5,0
-0.016015,0.099833,0,-0.68735,1,0.067,0.067,0.5,0
-0.016443,0.10107,0,-0.69236,1,0.068,0.068,0.5,0
-0.01687,0.1023,0,-0.69738,1,0.069,0.069,0.5,0
-0.017298,0.10354,0,-0.7024,1,0.07,0.07,0.5,0
-0.017771,0.10469,0,-0.70692,1,0.071,0.071,0.5,0
-0.018245,0.10583,0,-0.71144,1,0.072,0.072,0.5,0
-0.018718,0.10698,0,-0.71596,1,0.073,0.073,0.5,0
-0.019192,0.10813,0,-0.72048,1,0.074,0.074,0.5,0
-0.019665,0.10928,0,-0.72501,1,0.075,0.075,0.5,0
-0.020139,0.11042,0,-0.72953,1,0.076,0.076,0.5,0
-0.020613,0.11157,0,-0.73405,1,0.077,0.077,0.5,0
-0.021086,0.11272,0,-0.73857,1,0.078,0.078,0.5,0
-0.02156,0.11387,0,-0.74309,1,0.079,0.079,0.5,0
-0.022033,0.11501,0,-0.74761,1,0.08,0.08,0.5,0
-0.022548,0.11607,0,-0.75164,1,0.081,0.081,0.5,0
-0.023062,0.11713,0,-0.75567,1,0.082,0.082,0.5,0
-0.023576,0.11819,0,-0.7597,1,0.083,0.083,0.5,0
-0.024091,0.11924,0,-0.76372,1,0.084,0.084,0.5,0
-0.024605,0.1203,0,-0.76775,1,0.085,0.085,0.5,0
-0.02512,0.12136,0,-0.77178,1,0.086,0.086,0.5,0
-0.025634,0.12242,0,-0.77581,1,0.087,0.087,0.5,0
-0.026149,0.12348,0,-0.77984,1,0.088,0.088,0.5,0
